fid,ID,NL,NS,NM
406,52370205901,0,0,0
407,52370205902,0,0,0
408,52370205903,0,0,0
409,52370205904,0,0,0
410,52370205905,0,0,0
411,52370205906,0,0,0
412,52370205907,0,0,0
413,52370205908,0,0,0
414,52370205909,0,0,0
415,52370206900,0,0,0
416,51377296931,0,0,0
417,51377296941,0,0,0
418,51377296932,0,0,0
419,51377296942,0,0,0
420,51377296933,0,0,0
421,51377296943,0,0,0
422,51377296934,0,0,0
423,51377296944,0,0,0
424,51377296935,0,0,0
425,51377296945,0,0,0
426,51377296936,0,0,0
427,51377296946,0,0,0
428,51377296937,0,0,0
429,51377296947,0,0,0
430,51377296948,0,0,0
431,51377296951,0,0,0
432,51377296952,0,0,0
433,51377296953,0,0,0
434,51377296954,0,0,0
435,51377296955,0,0,0
436,51377296956,0,0,0
437,51377296957,0,0,0
438,51377296958,0,0,0
439,51377296959,0,0,0
440,51377296961,0,0,0
441,51377296962,0,0,0
442,51377296963,0,0,0
443,51377296964,0,0,0
444,51377296965,0,0,0
445,51377296966,0,0,0
446,51377296967,0,0,0
447,51377296968,0,0,0
448,51377296969,0,0,0
449,51377297940,0,0,0
450,51377297950,0,0,0
451,51377297960,0,0,0
452,51377296971,0,0,0
453,51377296972,0,0,0
454,51377296973,0,0,0
455,51377296974,0,0,0
456,51377296975,0,0,0
457,51377296976,0,0,0
458,51377296977,0,0,0
459,51377296978,0,0,0
460,51377296979,0,0,0
461,51377297970,0,0,0
462,51377296981,0,0,0
463,51377296982,0,0,0
464,51377296983,0,0,0
465,51377296984,0,0,0
466,51377296985,0,0,0
467,51377296986,0,0,0
468,51377296987,0,0,0
469,51377296988,0,0,0
470,51377296989,0,0,0
471,51377297980,0,0,0
472,51377296991,0,0,0
473,51377296992,0,0,0
474,51377296993,0,0,0
475,51377296994,0,0,0
476,51377296995,0,0,0
477,51377296996,0,0,0
478,51377296997,0,0,0
479,51377296998,0,0,0
480,51377296999,0,0,0
481,51377297990,0,0,0
482,52370206901,0,0,0
483,52370206902,0,0,0
484,52370206903,0,0,0
485,52370206904,0,0,0
486,52370206905,0,0,0
487,52370206906,0,0,0
488,52370206907,0,0,0
489,52370206908,0,0,0
490,52370206909,0,0,0
491,52370207900,0,0,0
492,51377297911,0,0,0
493,51377297912,0,0,0
494,51377297913,0,0,0
495,51377297914,0,0,0
496,51377297915,0,0,0
497,51377297916,0,0,0
498,51377297917,0,0,0
499,51377297918,0,0,0
500,51377297919,0,0,0
501,51377298910,0,0,0
502,51377297921,0,0,0
503,51377297922,0,0,0
504,51377297923,0,0,0
505,51377297924,0,0,0
506,51377297925,0,0,0
507,51377297926,0,0,0
508,51377297927,0,0,0
509,51377297928,0,0,0
510,51377297929,0,0,0
