fid,ID
400,51377295995
401,51377295996
402,51377295997
403,51377295998
404,51377295999
405,51377296990
406,52370205901
407,52370205902
408,52370205903
409,52370205904
410,52370205905
411,52370205906
412,52370205907
413,52370205908
414,52370205909
415,52370206900
416,51377296931
417,51377296941
418,51377296932
419,51377296942
420,51377296933
421,51377296943
422,51377296934
423,51377296944
424,51377296935
425,51377296945
426,51377296936
427,51377296946
428,51377296937
429,51377296947
430,51377296948
431,51377296951
432,51377296952
433,51377296953
434,51377296954
435,51377296955
436,51377296956
437,51377296957
438,51377296958
439,51377296959
440,51377296961
441,51377296962
442,51377296963
443,51377296964
444,51377296965
445,51377296966
446,51377296967
447,51377296968
448,51377296969
449,51377297940
450,51377297950
451,51377297960
452,51377296971
453,51377296972
454,51377296973
455,51377296974
456,51377296975
457,51377296976
458,51377296977
459,51377296978
460,51377296979
461,51377297970
462,51377296981
463,51377296982
464,51377296983
465,51377296984
466,51377296985
467,51377296986
468,51377296987
469,51377296988
470,51377296989
471,51377297980
472,51377296991
473,51377296992
474,51377296993
475,51377296994
476,51377296995
477,51377296996
478,51377296997
479,51377296998
480,51377296999
481,51377297990
482,52370206901
483,52370206902
484,52370206903
485,52370206904
486,52370206905
487,52370206906
488,52370206907
489,52370206908
490,52370206909
491,52370207900
492,51377297911
493,51377297912
494,51377297913
495,51377297914
496,51377297915
497,51377297916
498,51377297917
499,51377297918
500,51377297919
501,51377298910
502,51377297921
503,51377297922
504,51377297923
505,51377297924
506,51377297925
507,51377297926
508,51377297927
509,51377297928
510,51377297929
511,51377298920
512,51377297930
513,51377297931
514,51377297932
515,51377297933
516,51377297934
517,51377297935
518,51377297936
519,51377297937
520,51377297938
521,51377297939
522,51377298930
523,51377297941
524,51377297942
525,51377297943
526,51377297944
527,51377297945
528,51377297946
529,51377297947
530,51377297948
531,51377297949
532,51377298940
533,51377297951
534,51377297952
535,51377297953
536,51377297954
537,51377297955
538,51377297956
539,51377297957
540,51377297958
541,51377297959
542,51377298950
543,51377297961
544,51377297962
545,51377297963
546,51377297964
