fid,ID,LIVE,MAKE,SHOP,y2,p_land,mh01,mh02,mh03,mh04,mh06,mh07,ALAND
21714,52371354999,,,,38701,38701,,,,,,,1
21715,52371355990,,,,38568,38568,,,,,,,0
21716,52371364901,,,,39057,39057,,,,1,,,1
21717,52371364902,,,,38889,38889,,,,,,,1
21718,52371364903,,,,38701,38701,,,,,,,1
21719,52371364904,,,,38558,38558,,,,,,,1
21720,52371364905,,,,38413,38413,,,,,,,1
21721,52371364906,,,,38366,38366,,,,,,,1
21722,52371364907,,,,38299,38299,,,,,,,1
21723,52371364908,,,,38211,38211,,,,,,,1
21724,52371364909,,,,38103,38103,,,,,,,1
21725,52371365900,,,,37974,37974,,,,,,,1
21726,52371355911,,,,43433,43433,,,,,,,1
21727,52371355912,,,,43197,43197,,,,,,,1
21728,52371355913,,,,42935,42935,,,,,,,1
21729,52371355914,,,,42651,42651,,,,,,,1
21730,52371355915,,,,42344,42344,,,,,,,1
21731,52371355916,,,,42017,42017,,,,,,,0
21732,52371355917,,,,41670,41670,,,,,,,0
21733,52371355918,,,,41305,41305,,,,,,,1
21734,52371355919,,,,40923,40923,,,,,,,1
21735,52371356910,,,,40527,40527,,,,,,,1
21736,52371355921,,,,42776,42776,,,,,,,1
21737,52371355922,,,,42549,42549,,,,,,,1
21738,52371355923,,,,42298,42298,,,,,,,1
21739,52371355924,,,,42024,42024,,,,,,,1
21740,52371355925,,,,41729,41729,,,,,,,1
21741,52371355926,,,,41414,41414,,,,,,,1
21742,52371355927,,,,41080,41080,,,,,,,1
21743,52371355928,,,,40729,40729,,,,,,,1
21744,52371355929,,,,40361,40361,,,,,,,1
21745,52371356920,,,,39978,39978,,,,,,,1
21746,52371355931,,,,42126,42126,,,,,,,1
21747,52371355932,,,,41908,41908,,,,,,,1
21748,52371355933,,,,41667,41667,,,,,,,1
21749,52371355934,,,,41404,41404,,,,,,,0
21750,52371355935,,,,41121,41121,,,,,,,1
21751,52371355936,,,,40817,40817,,,,,,,1
21752,52371355937,,,,40495,40495,,,,,,,1
21753,52371355938,,,,40156,40156,,,,,,,1
21754,52371355939,,,,39801,39801,,,,,,,1
21755,52371356930,,,,39431,39431,,,,,,,1
21756,52371355941,,,,41486,41486,,,,,,,1
21757,52371355942,,,,41277,41277,,,,,,,1
21758,52371355943,,,,41045,41045,,,,,,,1
21759,52371355944,,,,40792,40792,,,,,,,1
21760,52371355945,,,,40519,40519,,,,,,,1
21761,52371355946,,,,40227,40227,,,,,,,1
21762,52371355947,,,,39917,39917,,,,,,,1
21763,52371355948,,,,39590,39590,,,,,,,1
21764,52371355949,,,,39247,39247,,,,,,,1
21765,52371356940,,,,38890,38890,,,,,,,1
21766,52371355951,,,,40855,40855,,,,,,,1
21767,52371355952,,,,40654,40654,,,,,,,1
21768,52371355953,,,,40431,40431,,,,,,,1
21769,52371355954,,,,40188,40188,,,,,,,1
21770,52371355955,,,,39925,39925,,,,,,,1
21771,52371355956,,,,39643,39643,,,,,,,1
21772,52371355957,,,,39344,39344,,,,,,,1
21773,52371355958,,,,39029,39029,,,,,,,1
21774,52371355959,,,,38698,38698,,,,,,,1
21775,52371356950,,,,38353,38353,,,,,,,1
21776,52371355961,,,,40232,40232,,,,,,,1
