"","ID","original","if_jukyo","if_shogyo","if_kogyo"
"2088",52370219924,1370198003.14931,68509.9001574655,98497.8115154276,47703.5436964738
"2089",52370219925,1356207352.38247,67810.3676191233,97492.0820668052,47216.4581667443
"2090",52370219926,1340822762.01614,67041.1381008069,96386.1481224688,46680.8425279055
"2091",52370219927,1324189876.74279,66209.4938371397,95190.4794710433,46101.7674105781
"2092",52370219928,875062076.185261,65322.66510467,93915.471200173,45484.2672668993
"2093",52370219929,643876920.307614,64387.6920307614,92571.245016889,44833.2441478507
"2094",52370219930,796838036.100163,71992.2117458295,103504.388224492,50128.2823494049
"2095",52370219931,1261073699.93024,71614.8607230591,102961.86444573,49865.5322802578
"2096",52370219932,1422721877.67263,71136.0938836314,102273.533477485,49532.1662296203
"2097",52370219933,1411244718.81533,70562.2359407664,101448.488464092,49132.5881045594
"2098",52370219934,1398008730.55012,69900.4365275061,100497.0085507,48671.7762050208
"2099",52370219935,1383167926.29564,69158.3963147821,99430.1651187029,48155.0925194387
"2100",52370219936,1366882176.40126,68344.1088200628,98259.4505797839,47588.1029457194
"2101",52370219937,1349312639.95333,67465.6319976663,96996.4499875456,46976.4182492418
"2102",52370219938,733624753.986137,66530.8973324568,95652.5665683735,46325.561134519
"2103",52370219939,655475598.500736,65547.5598500736,94238.8060786747,45640.8618071017
"2104",52370219940,1307593997.37789,73543.0553380818,105734.061592698,51208.1370112766
"2105",52370219941,1449329593.03612,73139.2865629089,105153.556576322,50926.9922224875
"2106",52370219942,950965386.090132,72627.7714872539,104418.142929632,50570.8235270606
"2107",52370219943,1080066441.50262,72015.753733144,103538.234927287,50144.6746696094
"2108",52370219944,1351612380.45564,71311.3625389038,102525.52010908,49654.2060506709
"2109",52370219945,1410465650.84875,70523.2825424377,101392.484521922,49105.4647963218
"2110",52370219946,1393208986.14746,69660.4493073729,100151.974972772,48504.6727525868
"2111",52370219947,1368799468.99873,68731.7868667988,98816.8216909417,47858.0437367602
"2112",52370219948,688773324.416266,67745.9954109789,97399.5330832268,47171.6357040492
"2113",52370219949,667113906.677008,66711.3906677008,95912.0648083913,46451.2389078766
"2114",52370219950,1502458197.00951,75122.9098504753,108005.444438474,52308.19201928
"2115",52370219951,1147654894.76236,74689.9957965935,107383.036775004,52006.753330292
"2116",52370219952,741424941.532481,74142.4941532481,106595.884647404,51625.5271351408
"2117",52370219953,734887386.389698,73488.7386389698,105655.969580026,51170.31621423
"2118",52370219954,852709845.410758,72738.0050214213,104576.62749677,50647.5792981518
"2119",52370219955,1438002236.87413,71900.1118437065,103371.974678726,50064.1530528322
